"","Date","Source","Site.ID","POC","Daily.Mean.PM2.5.Concentration","UNITS","DAILY_AQI_VALUE","Site.Name","DAILY_OBS_COUNT","PERCENT_COMPLETE","AQS_PARAMETER_CODE","AQS_PARAMETER_DESC","CBSA_CODE","CBSA_NAME","STATE_CODE","STATE","COUNTY_CODE","COUNTY","SITE_LATITUDE","SITE_LONGITUDE"
"1",2018-01-02,"AQS",370110002,1,2.9,"ug/m3 LC",12,"Linville Falls",1,100,88502,"Acceptable PM2.5 AQI & Speciation Mass",NA,"",37,"North Carolina",11,"Avery",35.972347,-81.933072
"2",2018-01-05,"AQS",370110002,1,3.7,"ug/m3 LC",15,"Linville Falls",1,100,88502,"Acceptable PM2.5 AQI & Speciation Mass",NA,"",37,"North Carolina",11,"Avery",35.972347,-81.933072
"3",2018-01-08,"AQS",370110002,1,5.3,"ug/m3 LC",22,"Linville Falls",1,100,88502,"Acceptable PM2.5 AQI & Speciation Mass",NA,"",37,"North Carolina",11,"Avery",35.972347,-81.933072
"4",2018-01-11,"AQS",370110002,1,0.8,"ug/m3 LC",3,"Linville Falls",1,100,88502,"Acceptable PM2.5 AQI & Speciation Mass",NA,"",37,"North Carolina",11,"Avery",35.972347,-81.933072
"5",2018-01-14,"AQS",370110002,1,2.5,"ug/m3 LC",10,"Linville Falls",1,100,88502,"Acceptable PM2.5 AQI & Speciation Mass",NA,"",37,"North Carolina",11,"Avery",35.972347,-81.933072
"6",2018-01-17,"AQS",370110002,1,4.5,"ug/m3 LC",19,"Linville Falls",1,100,88502,"Acceptable PM2.5 AQI & Speciation Mass",NA,"",37,"North Carolina",11,"Avery",35.972347,-81.933072
"7",2018-01-20,"AQS",370110002,1,1.8,"ug/m3 LC",8,"Linville Falls",1,100,88502,"Acceptable PM2.5 AQI & Speciation Mass",NA,"",37,"North Carolina",11,"Avery",35.972347,-81.933072
"8",2018-01-23,"AQS",370110002,1,2.5,"ug/m3 LC",10,"Linville Falls",1,100,88502,"Acceptable PM2.5 AQI & Speciation Mass",NA,"",37,"North Carolina",11,"Avery",35.972347,-81.933072
"9",2018-01-26,"AQS",370110002,1,4.2,"ug/m3 LC",18,"Linville Falls",1,100,88502,"Acceptable PM2.5 AQI & Speciation Mass",NA,"",37,"North Carolina",11,"Avery",35.972347,-81.933072
"10",2018-01-29,"AQS",370110002,1,1.7,"ug/m3 LC",7,"Linville Falls",1,100,88502,"Acceptable PM2.5 AQI & Speciation Mass",NA,"",37,"North Carolina",11,"Avery",35.972347,-81.933072
"11",2018-02-01,"AQS",370110002,1,5.7,"ug/m3 LC",24,"Linville Falls",1,100,88502,"Acceptable PM2.5 AQI & Speciation Mass",NA,"",37,"North Carolina",11,"Avery",35.972347,-81.933072
"12",2018-02-04,"AQS",370110002,1,1.2,"ug/m3 LC",5,"Linville Falls",1,100,88502,"Acceptable PM2.5 AQI & Speciation Mass",NA,"",37,"North Carolina",11,"Avery",35.972347,-81.933072
"13",2018-02-07,"AQS",370110002,1,2.2,"ug/m3 LC",9,"Linville Falls",1,100,88502,"Acceptable PM2.5 AQI & Speciation Mass",NA,"",37,"North Carolina",11,"Avery",35.972347,-81.933072
"14",2018-02-10,"AQS",370110002,1,3.3,"ug/m3 LC",14,"Linville Falls",1,100,88502,"Acceptable PM2.5 AQI & Speciation Mass",NA,"",37,"North Carolina",11,"Avery",35.972347,-81.933072
"15",2018-02-13,"AQS",370110002,1,2.6,"ug/m3 LC",11,"Linville Falls",1,100,88502,"Acceptable PM2.5 AQI & Speciation Mass",NA,"",37,"North Carolina",11,"Avery",35.972347,-81.933072
"16",2018-02-16,"AQS",370110002,1,2.3,"ug/m3 LC",10,"Linville Falls",1,100,88502,"Acceptable PM2.5 AQI & Speciation Mass",NA,"",37,"North Carolina",11,"Avery",35.972347,-81.933072
"17",2018-02-19,"AQS",370110002,1,3.1,"ug/m3 LC",13,"Linville Falls",1,100,88502,"Acceptable PM2.5 AQI & Speciation Mass",NA,"",37,"North Carolina",11,"Avery",35.972347,-81.933072
"18",2018-02-22,"AQS",370110002,1,7.8,"ug/m3 LC",33,"Linville Falls",1,100,88502,"Acceptable PM2.5 AQI & Speciation Mass",NA,"",37,"North Carolina",11,"Avery",35.972347,-81.933072
"19",2018-02-25,"AQS",370110002,1,4.1,"ug/m3 LC",17,"Linville Falls",1,100,88502,"Acceptable PM2.5 AQI & Speciation Mass",NA,"",37,"North Carolina",11,"Avery",35.972347,-81.933072
"20",2018-02-28,"AQS",370110002,1,3.6,"ug/m3 LC",15,"Linville Falls",1,100,88502,"Acceptable PM2.5 AQI & Speciation Mass",NA,"",37,"North Carolina",11,"Avery",35.972347,-81.933072
"21",2018-03-06,"AQS",370110002,1,10.6,"ug/m3 LC",44,"Linville Falls",1,100,88502,"Acceptable PM2.5 AQI & Speciation Mass",NA,"",37,"North Carolina",11,"Avery",35.972347,-81.933072
"22",2018-03-09,"AQS",370110002,1,4.3,"ug/m3 LC",18,"Linville Falls",1,100,88502,"Acceptable PM2.5 AQI & Speciation Mass",NA,"",37,"North Carolina",11,"Avery",35.972347,-81.933072
"23",2018-03-12,"AQS",370110002,1,2.4,"ug/m3 LC",10,"Linville Falls",1,100,88502,"Acceptable PM2.5 AQI & Speciation Mass",NA,"",37,"North Carolina",11,"Avery",35.972347,-81.933072
"24",2018-03-15,"AQS",370110002,1,7.1,"ug/m3 LC",30,"Linville Falls",1,100,88502,"Acceptable PM2.5 AQI & Speciation Mass",NA,"",37,"North Carolina",11,"Avery",35.972347,-81.933072
"25",2018-03-18,"AQS",370110002,1,5.4,"ug/m3 LC",23,"Linville Falls",1,100,88502,"Acceptable PM2.5 AQI & Speciation Mass",NA,"",37,"North Carolina",11,"Avery",35.972347,-81.933072
"26",2018-03-21,"AQS",370110002,1,1.3,"ug/m3 LC",5,"Linville Falls",1,100,88502,"Acceptable PM2.5 AQI & Speciation Mass",NA,"",37,"North Carolina",11,"Avery",35.972347,-81.933072
"27",2018-03-24,"AQS",370110002,1,5.1,"ug/m3 LC",21,"Linville Falls",1,100,88502,"Acceptable PM2.5 AQI & Speciation Mass",NA,"",37,"North Carolina",11,"Avery",35.972347,-81.933072
"28",2018-03-27,"AQS",370110002,1,4.4,"ug/m3 LC",18,"Linville Falls",1,100,88502,"Acceptable PM2.5 AQI & Speciation Mass",NA,"",37,"North Carolina",11,"Avery",35.972347,-81.933072
"29",2018-03-30,"AQS",370110002,1,1.6,"ug/m3 LC",7,"Linville Falls",1,100,88502,"Acceptable PM2.5 AQI & Speciation Mass",NA,"",37,"North Carolina",11,"Avery",35.972347,-81.933072
"30",2018-04-02,"AQS",370110002,1,6,"ug/m3 LC",25,"Linville Falls",1,100,88502,"Acceptable PM2.5 AQI & Speciation Mass",NA,"",37,"North Carolina",11,"Avery",35.972347,-81.933072
"31",2018-04-05,"AQS",370110002,1,4.5,"ug/m3 LC",19,"Linville Falls",1,100,88502,"Acceptable PM2.5 AQI & Speciation Mass",NA,"",37,"North Carolina",11,"Avery",35.972347,-81.933072
"32",2018-04-08,"AQS",370110002,1,2.9,"ug/m3 LC",12,"Linville Falls",1,100,88502,"Acceptable PM2.5 AQI & Speciation Mass",NA,"",37,"North Carolina",11,"Avery",35.972347,-81.933072
"33",2018-04-11,"AQS",370110002,1,4.5,"ug/m3 LC",19,"Linville Falls",1,100,88502,"Acceptable PM2.5 AQI & Speciation Mass",NA,"",37,"North Carolina",11,"Avery",35.972347,-81.933072
